UE_id,CQI,PMI,RI,SignalStrengthDiff,,PhaseImbalanceDiff,ClockDiff,,TimeStep
1,10,0,1,-43.0741398957714,-34.7909167868555,-0.297887703002268,10289900,13064900,0
1,10,0,1,-43.5334889511947,-34.9066745727592,-0.376980027372266,1109900,3209900,1
1,10,0,1,-44.0567851601278,-35.1730297899077,-0.451591718858594,4769900,5504900,2
1,10,0,1,-44.6633495683534,-35.5264282312609,-0.528356444348454,14624900,10919900,3
1,10,0,1,-45.2813571795183,-35.9935372986986,-0.592093498951366,3239900,11849900,4
1,10,0,1,-45.8521881590043,-36.555858495544,-0.643324458216113,8264900,494900,5
1,10,0,1,-46.3001982271329,-37.1837428604487,-0.666237771472058,6029900,629900,6
1,10,0,1,-46.6328327865802,-37.8305009588568,-0.647762944193485,11774900,14159900,7
1,10,0,1,-46.7908324018329,-38.396627311595,-0.566385312078396,3344900,4844900,8
1,10,0,1,-46.7196929552098,-38.8635285218979,-0.420610823758503,13304900,1559900,9
1,10,0,1,-46.5699598965798,-39.0976518837238,-0.206919071382397,8039900,15284900,10
1,10,0,1,-46.2808635799288,-39.0969442817943,-0.0188107048190631,5024900,779900,11
1,10,0,1,-45.9566920346066,-38.8855665236564,0.121974511052157,3104900,5369900,12
1,10,0,1,-45.6545655894865,-38.5682205177354,0.189250003547957,10649900,569900,13
1,10,0,1,-45.3505307471154,-38.2123956557931,0.208168802200173,15239900,4559900,14
1,10,0,1,-45.0723047383844,-37.8731014729483,0.178000333601795,9764900,11189900,15
1,10,0,1,-44.8150036933777,-37.6207485758847,0.132991320628402,2054900,2984900,16
1,10,0,1,-44.5941810916683,-37.4778885633613,0.0560367086143366,13874900,1424900,17
1,10,0,1,-44.4381930390734,-37.4377783877742,-0.0395601265415922,7994900,2069900,18
1,10,0,1,-44.2790223236613,-37.5119030548305,-0.157078603845599,884900,1874900,19
1,10,0,1,-44.1943217507337,-37.7137640466494,-0.2981247212852,1154900,11759900,20
1,10,0,1,-44.1202737710104,-38.0182150834309,-0.457690655366658,13919900,15179900,21
1,10,0,1,-44.0940331950835,-38.3578191863755,-0.627055229414742,7769900,15029900,22
1,10,0,1,-44.0890989082941,-38.7414398242091,-0.78886140522653,14354900,9824900,23
1,10,0,1,-44.1441014934402,-39.0748472187682,-0.912878609602086,6359900,11339900,24
1,10,0,1,-44.270453695573,-39.2559305089576,-0.985252726290712,12119900,1844900,25
1,10,0,1,-44.3984935617354,-39.2455059152814,-0.99789621314721,11729900,9689900,26
1,10,0,1,-44.4999134663471,-38.9892445943952,-0.935529796728458,10574900,11789900,27
1,10,0,1,-44.7290721817457,-38.5428913711462,-0.81866537470954,6989900,3479900,28
1,10,0,1,-44.8836651970722,-38.0097688295687,-0.670295842957513,4124900,7484900,29
1,10,0,1,-45.0402303629766,-37.4360506602686,-0.52057309065713,13109900,9854900,30
1,10,0,1,-45.1843931701089,-36.8762889280486,-0.395201604118101,7064900,3029900,31
1,10,0,1,-45.2384552518581,-36.4250297733428,-0.298979139424534,2714900,11099900,32
1,10,0,1,-45.2167438053868,-36.0572506350697,-0.226996801920936,8459900,434900,33
1,10,0,1,-45.1550491958326,-35.8206007865049,-0.174877878363066,9569900,719900,34
1,10,0,1,-44.9810093713437,-35.7214099769503,-0.129431258660323,1784900,299900,35
1,10,0,1,-44.7692069745597,-35.773070652781,-0.101890680923009,8819900,8774900,36
1,10,0,1,-44.591488055678,-35.9584975844155,-0.0743398318680174,6779900,5114900,37
1,10,0,1,-44.3358920689984,-36.3220228592907,-0.0584368839642705,9989900,3029900,38
1,10,0,1,-44.1441155166587,-36.8605342335755,-0.033965079415384,5009900,15224900,39
1,10,0,1,-43.9913494166724,-37.5977932955984,-0.00801924046615127,6359900,13154900,40
1,10,0,1,-43.8982112746882,-38.5283692744803,0.0255462973201697,12254900,1679900,41
1,10,0,1,-43.8613335489216,-39.7376515730078,0.0661965497245383,4934900,6674900,42
1,10,0,1,-43.8887681132733,-41.242409523772,0.127460719479977,3329900,13604900,43
1,10,0,1,-44.0353441776508,-43.0308630122109,0.184295607195208,10274900,9119900,44
1,10,0,1,-44.2788483280869,-45.056189805445,0.249362434772577,11279900,15149900,45
1,10,0,1,-44.5742832097304,-46.8736044973309,0.28278418591662,10769900,7289900,46
1,10,0,1,-44.9499779038158,-47.5883909326332,0.216440917555799,6899900,13469900,47
1,10,0,1,-45.3344000864966,-46.6812003491102,0.0974933471520938,9179900,5174900,48
1,10,0,1,-45.7376919509677,-45.0643749475103,-0.0562305259571002,13034900,8969900,49
1,10,0,1,-46.0669655355765,-43.5259350813654,-0.163093051583409,3989900,14294900,50
1,10,0,1,-46.2892223249623,-42.2708062546228,-0.245245059216227,8459900,12779900,51
1,10,0,1,-46.3523453390059,-41.3254002038881,-0.317708402458711,7184900,4514900,52
1,10,0,1,-46.1799876096682,-40.7033542513773,-0.366559325184152,14924900,7649900,53
1,10,0,1,-45.8359268029821,-40.27865896592,-0.402577342254652,1199900,9644900,54
1,10,0,1,-45.3276844711086,-40.0746507300395,-0.440140395000043,6404900,6164900,55
1,10,0,1,-44.7687791014333,-40.0935269187497,-0.467071070929382,1949900,5324900,56
1,10,0,1,-44.2608366844282,-40.2938609455025,-0.495877501571532,3449900,11219900,57
1,10,0,1,-43.7455367722921,-40.6600525213474,-0.52470804349221,12179900,13064900,58
1,10,0,1,-43.2796768047133,-41.1327381280287,-0.541295955206287,224900,12674900,59
1,10,0,1,-42.9263109327283,-41.6426627514498,-0.545194271985126,10649900,14459900,60
1,10,0,1,-42.6669321412308,-42.14034110334,-0.529182494001063,14474900,9014900,61
1,10,0,1,-42.4419507386449,-42.4646440339581,-0.488159821365781,4694900,5399900,62
1,10,0,1,-42.3419220628114,-42.5095747610872,-0.425458574017101,8159900,449900,63
1,10,0,1,-42.317185932412,-42.2582456042892,-0.351915259988037,1424900,10439900,64
1,10,0,1,-42.2999066914824,-41.7371101080537,-0.287452013965352,12944900,224900,65
1,10,0,1,-42.3764052776652,-41.1199581543077,-0.234122616843598,8549900,1919900,66
1,10,0,1,-42.4807751629688,-40.474716522115,-0.187618201614296,11249900,10469900,67
1,10,0,1,-42.5577830768605,-39.9138514668356,-0.160453658168301,2759900,14114900,68
1,10,0,1,-42.5736930546097,-39.4369404748532,-0.148640501721814,5579900,4484900,69
1,10,0,1,-42.6102848899722,-39.1210646828611,-0.148662179586099,11024900,5579900,70
1,10,0,1,-42.4855868954259,-38.9190978995135,-0.154762085120271,1934900,9569900,71
1,10,0,1,-42.306325771631,-38.8751164328535,-0.174151988122485,4829900,9944900,72
1,10,0,1,-42.0011822636559,-38.9720576605434,-0.205911898137567,9974900,9914900,73
1,10,0,1,-41.6331255350549,-39.2059327717216,-0.246025170324511,4964900,14834900,74
1,10,0,1,-41.2686271401407,-39.6271604523379,-0.29357442750318,8669900,8744900,75
1,10,0,1,-40.9003818814022,-40.1714974282719,-0.353904476833465,11474900,9209900,76
1,10,0,1,-40.538621262765,-40.8115396954721,-0.416586228723981,3464900,10859900,77
1,10,0,1,-40.2492706543415,-41.5142681760932,-0.485542845170228,1139900,10634900,78
1,10,0,1,-39.993466386658,-42.2242045939192,-0.545836413691014,9119900,8639900,79
1,10,0,1,-39.8414093073329,-42.7809317921117,-0.590161684971723,6734900,14219900,80
1,10,0,1,-39.7613549617125,-43.0856742598164,-0.615568009932844,6104900,9689900,81
1,10,0,1,-39.8142656793883,-43.1005169163764,-0.631636241845891,2684900,6779900,82
1,10,0,1,-39.9222316536975,-42.7632568081341,-0.624504650614725,1349900,2024900,83
1,10,0,1,-40.1674455786838,-42.2827981497239,-0.592568383893525,11789900,10889900,84
1,10,0,1,-40.4850868569963,-41.7189296050978,-0.555265109683466,11429900,13334900,85
1,10,0,1,-40.9347511370952,-41.1607273413076,-0.503856397616515,3419900,12779900,86
1,10,0,1,-41.545974151286,-40.7530539390732,-0.451021365807246,11999900,10709900,87
1,10,0,1,-42.2964544070037,-40.4376670200186,-0.382698298581127,1244900,10694900,88
1,10,0,1,-43.078082033263,-40.291614395159,-0.318916260505687,14549900,14084900,89
1,10,0,1,-44.0268663349989,-40.2765164227257,-0.261519772474505,1394900,3269900,90
1,10,0,1,-44.9479144492893,-40.4401911820371,-0.190926699892823,8084900,9644900,91
1,10,0,1,-45.7824495780747,-40.7705252113272,-0.128282984137578,9224900,14084900,92
1,10,0,1,-46.3684780890922,-41.2827544934323,-0.0930920510700793,13634900,8909900,93
1,10,0,1,-46.4880514743754,-41.9493899147862,-0.0775876620624208,614900,2579900,94
1,10,0,1,-46.1710200664134,-42.7755139513997,-0.113344567841638,4244900,14204900,95
1,10,0,1,-45.3779188838168,-43.7711431926305,-0.218777644229622,13949900,15344900,96
1,10,0,1,-44.5556655331048,-44.8497628655613,-0.350145272444482,9689900,13379900,97
1,10,0,1,-43.6464346056913,-45.8916508916909,-0.495902207882311,12254900,8474900,98
1,10,0,1,-42.7936140718309,-46.7965645864108,-0.589473344811805,149900,8834900,99
